GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
0500000US08069,08069,"Larimer County, Colorado",318227,*****,283384,*****,34843,*****
0500000US08071,08071,"Las Animas County, Colorado",14503,*****,8357,*****,6146,*****
0500000US08073,08073,"Lincoln County, Colorado",5478,*****,4547,184,931,184
0500000US08075,08075,"Logan County, Colorado",21928,*****,18553,*****,3375,*****
0500000US08077,08077,"Mesa County, Colorado",147834,*****,127313,*****,20521,*****
0500000US08079,08079,"Mineral County, Colorado",733,89,654,96,79,47
0500000US08081,08081,"Moffat County, Colorado",13117,*****,11244,*****,1873,*****
0500000US08083,08083,"Montezuma County, Colorado",25700,*****,22578,*****,3122,*****
0500000US08085,08085,"Montrose County, Colorado",40815,*****,32572,*****,8243,*****
0500000US08087,08087,"Morgan County, Colorado",28359,*****,18446,*****,9913,*****
0500000US08089,08089,"Otero County, Colorado",18572,*****,10925,*****,7647,*****
0500000US08091,08091,"Ouray County, Colorado",4580,*****,4360,114,220,114
0500000US08093,08093,"Park County, Colorado",16189,*****,15273,*****,916,*****
0500000US08095,08095,"Phillips County, Colorado",4371,*****,3579,213,792,213
0500000US08097,08097,"Pitkin County, Colorado",17420,*****,15736,*****,1684,*****
0500000US08099,08099,"Prowers County, Colorado",12235,*****,7837,*****,4398,*****
0500000US08101,08101,"Pueblo County, Colorado",161519,*****,93207,*****,68312,*****
0500000US08103,08103,"Rio Blanco County, Colorado",6712,*****,5999,*****,713,*****
0500000US08105,08105,"Rio Grande County, Colorado",11745,*****,6558,*****,5187,*****
0500000US08107,08107,"Routt County, Colorado",23606,*****,21994,*****,1612,*****
0500000US08109,08109,"Saguache County, Colorado",6238,*****,3811,*****,2427,*****
0500000US08111,08111,"San Juan County, Colorado",606,92,489,87,117,60
0500000US08113,08113,"San Miguel County, Colorado",7676,*****,6947,*****,729,*****
0500000US08115,08115,"Sedgwick County, Colorado",2365,*****,2044,114,321,114
0500000US08117,08117,"Summit County, Colorado",28940,*****,24674,*****,4266,*****
0500000US08119,08119,"Teller County, Colorado",23340,*****,21926,*****,1414,*****
0500000US08121,08121,"Washington County, Colorado",4795,*****,4350,*****,445,*****
0500000US08123,08123,"Weld County, Colorado",270948,*****,193268,*****,77680,*****
0500000US08125,08125,"Yuma County, Colorado",10185,*****,7984,*****,2201,*****
0500000US09001,09001,"Fairfield County, Connecticut",939983,*****,768263,*****,171720,*****
0500000US09003,09003,"Hartford County, Connecticut",896943,*****,748199,*****,148744,*****
0500000US09005,09005,"Litchfield County, Connecticut",186304,*****,176655,*****,9649,*****
0500000US09007,09007,"Middlesex County, Connecticut",165165,*****,155982,*****,9183,*****
0500000US09009,09009,"New Haven County, Connecticut",862224,*****,720942,*****,141282,*****
0500000US09011,09011,"New London County, Connecticut",273185,*****,247018,*****,26167,*****
0500000US09013,09013,"Tolland County, Connecticut",151948,*****,144561,*****,7387,*****
0500000US09015,09015,"Windham County, Connecticut",117470,*****,105094,*****,12376,*****
0500000US10001,10001,"Kent County, Delaware",169509,*****,158413,*****,11096,*****
0500000US10003,10003,"New Castle County, Delaware",549643,*****,499075,*****,50568,*****
0500000US10005,10005,"Sussex County, Delaware",207302,*****,188260,*****,19042,*****
0500000US11001,11001,"District of Columbia, District of Columbia",647484,*****,581681,*****,65803,*****
0500000US12001,12001,"Alachua County, Florida",254218,*****,231670,*****,22548,*****
0500000US12003,12003,"Baker County, Florida",27135,*****,26497,*****,638,*****
0500000US12005,12005,"Bay County, Florida",175353,*****,165724,*****,9629,*****
0500000US12007,12007,"Bradford County, Florida",27223,*****,26193,*****,1030,*****
0500000US12009,12009,"Brevard County, Florida",553591,*****,503412,*****,50179,*****
